,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost_BAG_L1,0.9978354978354979,0.9872611464968153,0.9978354978354979,0.7857142857142858,0.11200070381164551,0.025000333786010742,0.9839982986450195,0.11200070381164551,0.025000333786010742,0.9839982986450195,1,True,10
1,LightGBMLarge_BAG_L1,0.9956709956709957,0.9808917197452229,0.9956709956709957,0.7895238095238095,0.023999452590942383,0.01799941062927246,1.248997688293457,0.023999452590942383,0.01799941062927246,1.248997688293457,1,True,12
2,WeightedEnsemble_L2,0.9913419913419913,0.9808917197452229,0.9913419913419913,0.8761904761904762,0.31599950790405273,0.2669200897216797,3.7095389366149902,0.002000093460083008,0.0,0.1445455551147461,2,True,13
3,LightGBM_BAG_L1,0.9891774891774892,0.9808917197452229,0.9891774891774892,0.855,0.023000240325927734,0.025002241134643555,0.45799922943115234,0.023000240325927734,0.025002241134643555,0.45799922943115234,1,True,4
4,CatBoost_BAG_L1,0.9848484848484849,0.9808917197452229,0.9848484848484849,0.6397619047619048,0.10100007057189941,0.04499697685241699,10.533034086227417,0.10100007057189941,0.04499697685241699,10.533034086227417,1,True,7
5,RandomForestGini_BAG_L1,0.9783549783549783,0.9808917197452229,0.9783549783549783,0.6464285714285715,0.04899954795837402,0.0429995059967041,0.2720065116882324,0.04899954795837402,0.0429995059967041,0.2720065116882324,1,True,5
6,RandomForestEntr_BAG_L1,0.9707792207792207,0.9808917197452229,0.9707792207792207,0.592857142857143,0.04600024223327637,0.050000905990600586,0.346998929977417,0.04600024223327637,0.050000905990600586,0.346998929977417,1,True,6
7,LightGBMXT_BAG_L1,0.9632034632034632,0.9808917197452229,0.9632034632034632,0.7716666666666667,0.05399894714355469,0.023998737335205078,0.40799880027770996,0.05399894714355469,0.023998737335205078,0.40799880027770996,1,True,3
8,ExtraTreesEntr_BAG_L1,0.8863636363636364,0.9808917197452229,0.8863636363636364,0.6026190476190477,0.04686260223388672,0.057001352310180664,0.27967095375061035,0.04686260223388672,0.057001352310180664,0.27967095375061035,1,True,9
9,ExtraTreesGini_BAG_L1,0.7997835497835497,0.9872611464968153,0.7997835497835497,0.545952380952381,0.040062665939331055,0.04500079154968262,0.27697062492370605,0.040062665939331055,0.04500079154968262,0.27697062492370605,1,True,8
10,KNeighborsDist_BAG_L1,0.778138528138528,0.9808917197452229,0.778138528138528,0.5907142857142856,0.024966001510620117,0.017999887466430664,0.016000032424926758,0.024966001510620117,0.017999887466430664,0.016000032424926758,1,True,2
11,KNeighborsUnif_BAG_L1,0.7673160173160173,0.9808917197452229,0.7673160173160173,0.5957142857142856,0.023656606674194336,0.0859990119934082,0.013000249862670898,0.023656606674194336,0.0859990119934082,0.013000249862670898,1,True,1
12,NeuralNetTorch_BAG_L1,0.7640692640692639,0.9808917197452229,0.7640692640692639,0.6252380952380953,0.2669997215270996,0.22391843795776367,1.8579964637756348,0.2669997215270996,0.22391843795776367,1.8579964637756348,1,True,11
