,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,RandomForestGini_BAG_L1,0.8529801324503312,0.967948717948718,0.8529801324503312,0.5748607242339833,0.05699944496154785,0.04200005531311035,0.26951050758361816,0.05699944496154785,0.04200005531311035,0.26951050758361816,1,True,3
1,ExtraTreesGini_BAG_L1,0.8410596026490066,0.967948717948718,0.8410596026490066,0.5400417827298051,0.04729485511779785,0.04200005531311035,0.2719993591308594,0.04729485511779785,0.04200005531311035,0.2719993591308594,1,True,5
2,RandomForestEntr_BAG_L1,0.8112582781456954,0.967948717948718,0.8112582781456954,0.575208913649025,0.04609084129333496,0.05900144577026367,0.2644920349121094,0.04609084129333496,0.05900144577026367,0.2644920349121094,1,True,4
3,WeightedEnsemble_L2,0.8112582781456954,0.967948717948718,0.8112582781456954,0.575208913649025,0.04809236526489258,0.05900144577026367,0.3524923324584961,0.002001523971557617,0.0,0.08800029754638672,2,True,7
4,ExtraTreesEntr_BAG_L1,0.7781456953642385,0.967948717948718,0.7781456953642385,0.43767409470752094,0.04661417007446289,0.04031181335449219,0.25900793075561523,0.04661417007446289,0.04031181335449219,0.25900793075561523,1,True,6
5,KNeighborsUnif_BAG_L1,0.46688741721854304,0.967948717948718,0.46688741721854304,0.4637883008356546,0.020999908447265625,0.07499861717224121,0.008000373840332031,0.020999908447265625,0.07499861717224121,0.008000373840332031,1,True,1
6,KNeighborsDist_BAG_L1,0.46688741721854304,0.967948717948718,0.46688741721854304,0.4637883008356546,0.02599954605102539,0.016000032424926758,0.012000560760498047,0.02599954605102539,0.016000032424926758,0.012000560760498047,1,True,2
