,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,ExtraTreesGini_BAG_L1,0.9107142857142857,0.9871794871794872,0.9107142857142857,0.5055710306406686,0.0468747615814209,0.0409998893737793,0.25299978256225586,0.0468747615814209,0.0409998893737793,0.25299978256225586,1,True,5
1,ExtraTreesEntr_BAG_L1,0.8798701298701299,0.9871794871794872,0.8798701298701299,0.540041782729805,0.03180217742919922,0.04100179672241211,0.25701260566711426,0.03180217742919922,0.04100179672241211,0.25701260566711426,1,True,6
2,WeightedEnsemble_L2,0.8798701298701299,0.9871794871794872,0.8798701298701299,0.540041782729805,0.03280210494995117,0.042001962661743164,0.34101366996765137,0.0009999275207519531,0.0010001659393310547,0.08400106430053711,2,True,7
3,RandomForestGini_BAG_L1,0.7775974025974026,0.9871794871794872,0.7775974025974026,0.4032033426183844,0.06199932098388672,0.041001081466674805,0.26400136947631836,0.06199932098388672,0.041001081466674805,0.26400136947631836,1,True,3
4,KNeighborsUnif_BAG_L1,0.7110389610389609,0.9871794871794872,0.7110389610389609,0.4610027855153203,0.018999814987182617,0.08299851417541504,0.008001565933227539,0.018999814987182617,0.08299851417541504,0.008001565933227539,1,True,1
5,KNeighborsDist_BAG_L1,0.7110389610389609,0.9871794871794872,0.7110389610389609,0.4610027855153203,0.023000001907348633,0.014003992080688477,0.01699995994567871,0.023000001907348633,0.014003992080688477,0.01699995994567871,1,True,2
6,RandomForestEntr_BAG_L1,0.6915584415584416,0.9871794871794872,0.6915584415584416,0.44986072423398327,0.047785043716430664,0.05100250244140625,0.23972415924072266,0.047785043716430664,0.05100250244140625,0.23972415924072266,1,True,4
