,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,RandomForestGini_BAG_L1,0.9030501089324618,0.9807692307692307,0.9030501089324618,0.3559556786703601,0.06099843978881836,0.04200172424316406,0.2710087299346924,0.06099843978881836,0.04200172424316406,0.2710087299346924,1,True,3
1,RandomForestEntr_BAG_L1,0.8246187363834423,0.9807692307692307,0.8246187363834423,0.34210526315789475,0.04600048065185547,0.04416322708129883,0.26300501823425293,0.04600048065185547,0.04416322708129883,0.26300501823425293,1,True,4
2,KNeighborsUnif_BAG_L1,0.6470588235294117,0.9807692307692307,0.6470588235294117,0.48753462603878117,0.01096343994140625,0.04861855506896973,0.009000301361083984,0.01096343994140625,0.04861855506896973,0.009000301361083984,1,True,1
3,WeightedEnsemble_L2,0.6470588235294117,0.9807692307692307,0.6470588235294117,0.48753462603878117,0.011964082717895508,0.04861855506896973,0.09200096130371094,0.0010006427764892578,0.0,0.08300065994262695,2,True,7
4,KNeighborsDist_BAG_L1,0.644880174291939,0.9807692307692307,0.644880174291939,0.48753462603878117,0.02300095558166504,0.016005277633666992,0.017999887466430664,0.02300095558166504,0.016005277633666992,0.017999887466430664,1,True,2
5,ExtraTreesGini_BAG_L1,0.6143790849673202,0.9807692307692307,0.6143790849673202,0.3601108033240997,0.04900026321411133,0.04500079154968262,0.2719991207122803,0.04900026321411133,0.04500079154968262,0.2719991207122803,1,True,5
6,ExtraTreesEntr_BAG_L1,0.6045751633986928,0.9807692307692307,0.6045751633986928,0.35041551246537395,0.04599928855895996,0.040999650955200195,0.2543787956237793,0.04599928855895996,0.040999650955200195,0.2543787956237793,1,True,6
