,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,KNeighborsUnif_BAG_L1,0.65625,0.9743589743589743,0.65625,0.6455331412103746,0.0279996395111084,0.04899954795837402,0.009999990463256836,0.0279996395111084,0.04899954795837402,0.009999990463256836,1,True,1
1,KNeighborsDist_BAG_L1,0.6430921052631579,0.9743589743589743,0.6430921052631579,0.6543587896253603,0.023998737335205078,0.016000032424926758,0.01699995994567871,0.023998737335205078,0.016000032424926758,0.01699995994567871,1,True,2
2,NeuralNetTorch_BAG_L1,0.6101973684210525,0.9743589743589743,0.6101973684210525,0.6763328530259367,0.19540143013000488,0.18200039863586426,2.3276891708374023,0.19540143013000488,0.18200039863586426,2.3276891708374023,1,True,11
3,LightGBMLarge_BAG_L1,0.5238486842105263,0.9743589743589743,0.5238486842105263,0.6132024495677233,0.046003103256225586,0.017000913619995117,1.1709976196289062,0.046003103256225586,0.017000913619995117,1.1709976196289062,1,True,12
4,RandomForestGini_BAG_L1,0.4407894736842105,0.9743589743589743,0.4407894736842105,0.7915165706051873,0.042999982833862305,0.041001319885253906,0.2992234230041504,0.042999982833862305,0.041001319885253906,0.2992234230041504,1,True,5
5,XGBoost_BAG_L1,0.40296052631578944,0.9743589743589743,0.40296052631578944,0.6158141210374639,0.10800051689147949,0.025000810623168945,0.9869980812072754,0.10800051689147949,0.025000810623168945,0.9869980812072754,1,True,10
6,WeightedEnsemble_L2,0.4013157894736842,0.9743589743589743,0.4013157894736842,0.7968299711815562,0.32634902000427246,0.32900094985961914,13.425260543823242,0.0029993057250976562,0.0,0.1439988613128662,2,True,13
7,ExtraTreesGini_BAG_L1,0.4004934210526316,0.9743589743589743,0.4004934210526316,0.7365814121037464,0.027948379516601562,0.04599952697753906,0.2717709541320801,0.027948379516601562,0.04599952697753906,0.2717709541320801,1,True,8
8,LightGBM_BAG_L1,0.3651315789473684,0.9743589743589743,0.3651315789473684,0.6890309798270894,0.021999597549438477,0.022000789642333984,0.40399837493896484,0.021999597549438477,0.022000789642333984,0.40399837493896484,1,True,4
9,CatBoost_BAG_L1,0.3470394736842105,0.9743589743589743,0.3470394736842105,0.7267651296829971,0.03500032424926758,0.03799891471862793,9.978579759597778,0.03500032424926758,0.03799891471862793,9.978579759597778,1,True,7
10,ExtraTreesEntr_BAG_L1,0.33963815789473684,0.9743589743589743,0.33963815789473684,0.7123559077809798,0.0450589656829834,0.04000091552734375,0.2504141330718994,0.0450589656829834,0.04000091552734375,0.2504141330718994,1,True,9
11,RandomForestEntr_BAG_L1,0.3314144736842105,0.9743589743589743,0.3314144736842105,0.7404538904899136,0.046000003814697266,0.044999122619628906,0.2753791809082031,0.046000003814697266,0.044999122619628906,0.2753791809082031,1,True,6
12,LightGBMXT_BAG_L1,0.32894736842105265,0.9743589743589743,0.32894736842105265,0.7323487031700289,0.052999258041381836,0.022000789642333984,0.3769996166229248,0.052999258041381836,0.022000789642333984,0.3769996166229248,1,True,3
