,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,KNeighborsUnif_BAG_L1,0.9509803921568627,0.9807692307692307,0.9509803921568627,0.534900284900285,0.022002696990966797,0.055999040603637695,0.009000062942504883,0.022002696990966797,0.055999040603637695,0.009000062942504883,1,True,1
1,KNeighborsDist_BAG_L1,0.9237472766884531,0.9871794871794872,0.9237472766884531,0.5426163342830009,0.02199721336364746,0.015000104904174805,0.011999845504760742,0.02199721336364746,0.015000104904174805,0.011999845504760742,1,True,2
2,RandomForestGini_BAG_L1,0.7385620915032679,0.9807692307692307,0.7385620915032679,0.6032763532763533,0.053999900817871094,0.045000314712524414,0.292999267578125,0.053999900817871094,0.045000314712524414,0.292999267578125,1,True,5
3,XGBoost_BAG_L1,0.7233115468409584,0.9807692307692307,0.7233115468409584,0.604582146248813,0.11200070381164551,0.024000883102416992,1.0729975700378418,0.11200070381164551,0.024000883102416992,1.0729975700378418,1,True,10
4,RandomForestEntr_BAG_L1,0.6721132897603486,0.9807692307692307,0.6721132897603486,0.6290360873694206,0.0480043888092041,0.046997785568237305,0.26900172233581543,0.0480043888092041,0.046997785568237305,0.26900172233581543,1,True,6
5,CatBoost_BAG_L1,0.6209150326797386,0.9807692307692307,0.6209150326797386,0.5790598290598291,0.03500103950500488,0.03499722480773926,9.545676708221436,0.03500103950500488,0.03499722480773926,9.545676708221436,1,True,7
6,LightGBM_BAG_L1,0.616557734204793,0.9807692307692307,0.616557734204793,0.5137701804368471,0.053999900817871094,0.02300095558166504,0.402998685836792,0.053999900817871094,0.02300095558166504,0.402998685836792,1,True,4
7,WeightedEnsemble_L2,0.5795206971677559,0.9807692307692307,0.5795206971677559,0.7115384615384615,0.05800294876098633,0.054999589920043945,10.85067343711853,0.0009999275207519531,0.0,0.14599895477294922,2,True,13
8,ExtraTreesGini_BAG_L1,0.5675381263616558,0.9807692307692307,0.5675381263616558,0.5401234567901234,0.04334235191345215,0.04199981689453125,0.25200510025024414,0.04334235191345215,0.04199981689453125,0.25200510025024414,1,True,8
9,LightGBMLarge_BAG_L1,0.5468409586056644,0.9807692307692307,0.5468409586056644,0.6980056980056981,0.022001981735229492,0.020002365112304688,1.1589977741241455,0.022001981735229492,0.020002365112304688,1.1589977741241455,1,True,12
10,NeuralNetTorch_BAG_L1,0.5403050108932461,0.9807692307692307,0.5403050108932461,0.5465337132003798,0.2576138973236084,0.15899920463562012,2.048997402191162,0.2576138973236084,0.15899920463562012,2.048997402191162,1,True,11
11,ExtraTreesEntr_BAG_L1,0.537037037037037,0.9807692307692307,0.537037037037037,0.5199430199430198,0.04773902893066406,0.04200100898742676,0.2612650394439697,0.04773902893066406,0.04200100898742676,0.2612650394439697,1,True,9
12,LightGBMXT_BAG_L1,0.36819172113289755,0.9807692307692307,0.36819172113289755,0.498338081671415,0.05699968338012695,0.019001007080078125,0.3829982280731201,0.05699968338012695,0.019001007080078125,0.3829982280731201,1,True,3
