,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMLarge_BAG_L1,0.578125,0.9230769230769231,0.578125,0.6308928571428571,0.029000043869018555,0.017999649047851562,1.228996992111206,0.029000043869018555,0.017999649047851562,1.228996992111206,1,True,12
1,RandomForestGini_BAG_L1,0.5638020833333334,0.9230769230769231,0.5638020833333334,0.7852678571428571,0.04999995231628418,0.04300069808959961,0.29600977897644043,0.04999995231628418,0.04300069808959961,0.29600977897644043,1,True,5
2,NeuralNetTorch_BAG_L1,0.5572916666666666,0.9230769230769231,0.5572916666666666,0.6576785714285714,0.23413848876953125,0.1490004062652588,2.1063241958618164,0.23413848876953125,0.1490004062652588,2.1063241958618164,1,True,11
3,ExtraTreesGini_BAG_L1,0.5442708333333334,0.9230769230769231,0.5442708333333334,0.8340178571428571,0.03416848182678223,0.04400157928466797,0.24984979629516602,0.03416848182678223,0.04400157928466797,0.24984979629516602,1,True,8
4,ExtraTreesEntr_BAG_L1,0.5397135416666666,0.9230769230769231,0.5397135416666666,0.8293750000000001,0.030998945236206055,0.047000885009765625,0.28100013732910156,0.030998945236206055,0.047000885009765625,0.28100013732910156,1,True,9
5,RandomForestEntr_BAG_L1,0.5384114583333333,0.9230769230769231,0.5384114583333333,0.8295535714285714,0.032000064849853516,0.045999765396118164,0.3080580234527588,0.032000064849853516,0.045999765396118164,0.3080580234527588,1,True,6
6,WeightedEnsemble_L2,0.5299479166666667,0.9230769230769231,0.5299479166666667,0.8626785714285714,0.16716670989990234,0.19300270080566406,2.6429030895233154,0.003999233245849609,0.00099945068359375,0.14899992942810059,2,True,13
7,KNeighborsDist_BAG_L1,0.5149739583333334,0.9230769230769231,0.5149739583333334,0.5489285714285713,0.01199960708618164,0.015000104904174805,0.01199960708618164,0.01199960708618164,0.015000104904174805,0.01199960708618164,1,True,2
8,KNeighborsUnif_BAG_L1,0.5143229166666666,0.9230769230769231,0.5143229166666666,0.5510714285714285,0.01900005340576172,0.05199909210205078,0.008000612258911133,0.01900005340576172,0.05199909210205078,0.008000612258911133,1,True,1
9,LightGBMXT_BAG_L1,0.49869791666666674,0.9230769230769231,0.49869791666666674,0.811607142857143,0.025000333786010742,0.022001266479492188,0.4139986038208008,0.025000333786010742,0.022001266479492188,0.4139986038208008,1,True,3
10,CatBoost_BAG_L1,0.484375,0.9230769230769231,0.484375,0.7591071428571428,0.15450358390808105,0.03699898719787598,10.7487154006958,0.15450358390808105,0.03699898719787598,10.7487154006958,1,True,7
11,XGBoost_BAG_L1,0.48046875,0.9230769230769231,0.48046875,0.6968750000000001,0.1139993667602539,0.023001670837402344,0.9709985256195068,0.1139993667602539,0.023001670837402344,0.9709985256195068,1,True,10
12,LightGBM_BAG_L1,0.44791666666666663,0.9230769230769231,0.44791666666666663,0.6787500000000001,0.051999568939208984,0.019000768661499023,0.4459991455078125,0.051999568939208984,0.019000768661499023,0.4459991455078125,1,True,4
