,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,NeuralNetTorch_BAG_L1,0.7376237623762376,0.9619047619047619,0.7376237623762376,0.5881011608623549,0.22422242164611816,0.20200014114379883,2.1889963150024414,0.22422242164611816,0.20200014114379883,2.1889963150024414,1,True,11
1,CatBoost_BAG_L1,0.6881188118811881,0.9619047619047619,0.6881188118811881,0.6589966832504146,0.09205865859985352,0.04200029373168945,12.749095678329468,0.09205865859985352,0.04200029373168945,12.749095678329468,1,True,7
2,RandomForestGini_BAG_L1,0.6398514851485149,0.9619047619047619,0.6398514851485149,0.585924543946932,0.059999942779541016,0.04500007629394531,0.2700002193450928,0.059999942779541016,0.04500007629394531,0.2700002193450928,1,True,5
3,WeightedEnsemble_L2,0.6089108910891089,0.9619047619047619,0.6089108910891089,0.7866915422885572,0.2952239513397217,0.3494586944580078,4.530990362167358,0.0019998550415039062,0.0009999275207519531,0.1569995880126953,2,True,13
4,ExtraTreesGini_BAG_L1,0.5594059405940593,0.9619047619047619,0.5594059405940593,0.4680762852404644,0.036412954330444336,0.04499959945678711,0.2799994945526123,0.036412954330444336,0.04499959945678711,0.2799994945526123,1,True,8
5,LightGBMXT_BAG_L1,0.5346534653465347,0.9619047619047619,0.5346534653465347,0.6795190713101161,0.01999950408935547,0.021999597549438477,0.42499732971191406,0.01999950408935547,0.021999597549438477,0.42499732971191406,1,True,3
6,XGBoost_BAG_L1,0.5272277227722773,0.9619047619047619,0.5272277227722773,0.675580431177446,0.11699891090393066,0.024999141693115234,1.0359961986541748,0.11699891090393066,0.024999141693115234,1.0359961986541748,1,True,10
7,ExtraTreesEntr_BAG_L1,0.5235148514851484,0.9619047619047619,0.5235148514851484,0.4495232172470979,0.04657125473022461,0.045999765396118164,0.2839992046356201,0.04657125473022461,0.045999765396118164,0.2839992046356201,1,True,9
8,LightGBMLarge_BAG_L1,0.5123762376237624,0.9619047619047619,0.5123762376237624,0.6706053067993367,0.016002178192138672,0.01899552345275879,1.2979984283447266,0.016002178192138672,0.01899552345275879,1.2979984283447266,1,True,12
9,RandomForestEntr_BAG_L1,0.47896039603960394,0.9619047619047619,0.47896039603960394,0.6196102819237148,0.045003652572631836,0.04899954795837402,0.2960805892944336,0.045003652572631836,0.04899954795837402,0.2960805892944336,1,True,6
10,KNeighborsUnif_BAG_L1,0.4306930693069307,0.9428571428571428,0.4306930693069307,0.7033582089552239,0.01100015640258789,0.08546328544616699,0.010000467300415039,0.01100015640258789,0.08546328544616699,0.010000467300415039,1,True,1
11,KNeighborsDist_BAG_L1,0.4306930693069307,0.9428571428571428,0.4306930693069307,0.6996268656716419,0.021999359130859375,0.017999887466430664,0.021000146865844727,0.021999359130859375,0.017999887466430664,0.021000146865844727,1,True,2
12,LightGBM_BAG_L1,0.41831683168316836,0.9619047619047619,0.41831683168316836,0.7040837479270315,0.021999835968017578,0.020000219345092773,0.451998233795166,0.021999835968017578,0.020000219345092773,0.451998233795166,1,True,4
