,model,score_test,accuracy,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,0.8811594202898552,0.7802197802197802,0.9289578074287774,0.17000269889831543,0.12299990653991699,16.54211950302124,0.0019998550415039062,0.0010001659393310547,0.1679997444152832,2,True,14
1,CatBoost_BAG_L1,0.8806763285024154,0.7692307692307693,0.9189505950234403,0.006000041961669922,0.008999824523925781,12.962174892425537,0.006000041961669922,0.008999824523925781,12.962174892425537,1,True,7
2,ExtraTreesEntr_BAG_L1,0.8640096618357488,0.7472527472527473,0.9160205553552109,0.031003475189208984,0.03299999237060547,0.21594786643981934,0.031003475189208984,0.03299999237060547,0.21594786643981934,1,True,9
3,ExtraTreesGini_BAG_L1,0.8623188405797102,0.7582417582417582,0.9126397403534077,0.04060220718383789,0.03399944305419922,0.23463845252990723,0.04060220718383789,0.03399944305419922,0.23463845252990723,1,True,8
4,NeuralNetTorch_BAG_L1,0.8623188405797101,0.7912087912087912,0.8925351604760188,0.037999868392944336,0.025000333786010742,1.7179977893829346,0.037999868392944336,0.025000333786010742,1.7179977893829346,1,True,12
5,RandomForestGini_BAG_L1,0.8589371980676329,0.7582417582417582,0.9053371799495131,0.04199981689453125,0.034999847412109375,0.2690002918243408,0.04199981689453125,0.034999847412109375,0.2690002918243408,1,True,5
6,XGBoost_BAG_L1,0.8565217391304347,0.7582417582417582,0.9008294266137757,0.05099964141845703,0.01999974250793457,1.2089989185333252,0.05099964141845703,0.01999974250793457,1.2089989185333252,1,True,11
7,RandomForestEntr_BAG_L1,0.8555555555555556,0.7582417582417582,0.9047962495492247,0.04700016975402832,0.0370030403137207,0.24219083786010742,0.04700016975402832,0.0370030403137207,0.24219083786010742,1,True,6
8,LightGBM_BAG_L1,0.8323671497584542,0.7032967032967034,0.88581860800577,0.046000003814697266,0.012001991271972656,0.36299753189086914,0.046000003814697266,0.012001991271972656,0.36299753189086914,1,True,4
9,NeuralNetFastAI_BAG_L1,0.8304347826086956,0.7582417582417582,0.8626036783267219,0.24610018730163574,0.035999298095703125,2.5725011825561523,0.24610018730163574,0.035999298095703125,2.5725011825561523,1,True,10
10,LightGBMXT_BAG_L1,0.8135265700483092,0.7142857142857143,0.8704471691309051,0.07209062576293945,0.010998964309692383,0.4529988765716553,0.07209062576293945,0.010998964309692383,0.4529988765716553,1,True,3
11,LightGBMLarge_BAG_L1,0.7985507246376812,0.7252747252747253,0.8684186801298233,0.05299997329711914,0.010999441146850586,0.8649976253509521,0.05299997329711914,0.010999441146850586,0.8649976253509521,1,True,13
12,KNeighborsUnif_BAG_L1,0.6429951690821256,0.6483516483516484,0.6806256761630004,0.031000375747680664,0.02278423309326172,0.004000425338745117,0.031000375747680664,0.02278423309326172,0.004000425338745117,1,True,1
13,KNeighborsDist_BAG_L1,0.6347826086956523,0.6263736263736264,0.6882437793003967,0.031000375747680664,0.01701641082763672,0.002000093460083008,0.031000375747680664,0.01701641082763672,0.002000093460083008,1,True,2
