,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,ExtraTreesEntr_BAG_L1,0.7586633663366337,0.9619047619047619,0.7586633663366337,0.540837479270315,0.04593992233276367,0.04999995231628418,0.30499958992004395,0.04593992233276367,0.04999995231628418,0.30499958992004395,1,True,9
1,LightGBMXT_BAG_L1,0.6732673267326732,0.9619047619047619,0.6732673267326732,0.623030679933665,0.023999929428100586,0.016999006271362305,0.8429985046386719,0.023999929428100586,0.016999006271362305,0.8429985046386719,1,True,3
2,XGBoost_BAG_L1,0.6584158415841584,0.9619047619047619,0.6584158415841584,0.517516583747927,0.11804509162902832,0.026001453399658203,1.010998249053955,0.11804509162902832,0.026001453399658203,1.010998249053955,1,True,10
3,ExtraTreesGini_BAG_L1,0.6287128712871286,0.9619047619047619,0.6287128712871286,0.6099709784411277,0.031469106674194336,0.04300045967102051,0.24700427055358887,0.031469106674194336,0.04300045967102051,0.24700427055358887,1,True,8
4,NeuralNetTorch_BAG_L1,0.6138613861386139,0.9619047619047619,0.6138613861386139,0.5640547263681592,0.22386860847473145,0.20000267028808594,2.777186632156372,0.22386860847473145,0.20000267028808594,2.777186632156372,1,True,11
5,LightGBM_BAG_L1,0.5915841584158417,0.9619047619047619,0.5915841584158417,0.5120232172470978,0.01299905776977539,0.016999244689941406,0.884998083114624,0.01299905776977539,0.016999244689941406,0.884998083114624,1,True,4
6,WeightedEnsemble_L2,0.5841584158415841,0.9619047619047619,0.5841584158415841,0.7184908789386402,0.35233449935913086,0.3530242443084717,16.35916543006897,0.0010001659393310547,0.0,0.1529994010925293,2,True,13
7,RandomForestEntr_BAG_L1,0.5693069306930694,0.9619047619047619,0.5693069306930694,0.5561774461028193,0.04600048065185547,0.046000003814697266,0.2665882110595703,0.04600048065185547,0.046000003814697266,0.2665882110595703,1,True,6
8,RandomForestGini_BAG_L1,0.530940594059406,0.9619047619047619,0.530940594059406,0.5515132669983416,0.06199979782104492,0.04499983787536621,0.2579994201660156,0.06199979782104492,0.04499983787536621,0.2579994201660156,1,True,5
9,LightGBMLarge_BAG_L1,0.5099009900990099,0.9619047619047619,0.5099009900990099,0.48818407960199006,0.013998270034790039,0.020020484924316406,1.1699976921081543,0.013998270034790039,0.020020484924316406,1.1699976921081543,1,True,12
10,CatBoost_BAG_L1,0.4603960396039604,0.9619047619047619,0.4603960396039604,0.6614842454394694,0.03299999237060547,0.03800201416015625,10.266980648040771,0.03299999237060547,0.03800201416015625,10.266980648040771,1,True,7
11,KNeighborsDist_BAG_L1,0.4158415841584158,0.9619047619047619,0.4158415841584158,0.4846600331674958,0.011999368667602539,0.018000364303588867,0.017000198364257812,0.011999368667602539,0.018000364303588867,0.017000198364257812,1,True,2
12,KNeighborsUnif_BAG_L1,0.4158415841584158,0.9619047619047619,0.4158415841584158,0.4844527363184079,0.017999887466430664,0.01399993896484375,0.009999275207519531,0.017999887466430664,0.01399993896484375,0.009999275207519531,1,True,1
