,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,RandomForestGini_BAG_L1,0.7438118811881188,0.9619047619047619,0.7438118811881188,0.6657547699214366,0.05000019073486328,0.04400014877319336,0.29064488410949707,0.05000019073486328,0.04400014877319336,0.29064488410949707,1,True,5
1,CatBoost_BAG_L1,0.6955445544554455,0.9619047619047619,0.6955445544554455,0.6959876543209876,0.03400087356567383,0.037999629974365234,11.5971200466156,0.03400087356567383,0.037999629974365234,11.5971200466156,1,True,7
2,KNeighborsUnif_BAG_L1,0.6856435643564357,0.9619047619047619,0.6856435643564357,0.558361391694725,0.011000633239746094,0.05299830436706543,0.00900125503540039,0.011000633239746094,0.05299830436706543,0.00900125503540039,1,True,1
3,KNeighborsDist_BAG_L1,0.6757425742574258,0.9619047619047619,0.6757425742574258,0.5540824915824916,0.02899932861328125,0.020999908447265625,0.015000343322753906,0.02899932861328125,0.020999908447265625,0.015000343322753906,1,True,2
4,ExtraTreesGini_BAG_L1,0.6608910891089109,0.9619047619047619,0.6608910891089109,0.6856762065095399,0.04400014877319336,0.04499983787536621,0.27299928665161133,0.04400014877319336,0.04499983787536621,0.27299928665161133,1,True,8
5,RandomForestEntr_BAG_L1,0.6398514851485149,0.9619047619047619,0.6398514851485149,0.659652076318743,0.04499959945678711,0.050573110580444336,0.3130669593811035,0.04499959945678711,0.050573110580444336,0.3130669593811035,1,True,6
6,NeuralNetTorch_BAG_L1,0.6311881188118812,0.9619047619047619,0.6311881188118812,0.6907968574635241,0.23799991607666016,0.2109999656677246,2.3399953842163086,0.23799991607666016,0.2109999656677246,2.3399953842163086,1,True,11
7,ExtraTreesEntr_BAG_L1,0.6262376237623762,0.9619047619047619,0.6262376237623762,0.6856762065095398,0.030342817306518555,0.04499959945678711,0.363999605178833,0.030342817306518555,0.04499959945678711,0.363999605178833,1,True,9
8,WeightedEnsemble_L2,0.5891089108910892,0.9619047619047619,0.5891089108910892,0.870230078563412,0.3763430118560791,0.4058265686035156,16.959818363189697,0.0009996891021728516,0.0,0.1569995880126953,2,True,13
9,LightGBMXT_BAG_L1,0.556930693069307,0.9619047619047619,0.556930693069307,0.8244248035914702,0.026999235153198242,0.016998291015625,0.6995224952697754,0.026999235153198242,0.016998291015625,0.6995224952697754,1,True,3
10,LightGBM_BAG_L1,0.5321782178217822,0.9619047619047619,0.5321782178217822,0.6876402918069584,0.018999814987182617,0.021831750869750977,0.44318318367004395,0.018999814987182617,0.021831750869750977,0.44318318367004395,1,True,4
11,XGBoost_BAG_L1,0.4653465346534653,0.9619047619047619,0.4653465346534653,0.6421156004489337,0.10799908638000488,0.026001453399658203,1.0029981136322021,0.10799908638000488,0.026001453399658203,1.0029981136322021,1,True,10
12,LightGBMLarge_BAG_L1,0.40099009900990096,0.9619047619047619,0.40099009900990096,0.6633698092031426,0.016000032424926758,0.019999027252197266,1.34999680519104,0.016000032424926758,0.019999027252197266,1.34999680519104,1,True,12
